Nx=  50 Ny= 8 M= 12000
  26  6     0.865780531400740
  26  7     0.865791230994240
  26  8     0.867075272696949
  27  1     0.867906400878818
  27  2     0.866971081960841
  27  3     0.866726437752141
  27  4     0.867175979598900
  27  5     0.867114964184717
  27  6     0.866496541154484
  27  7     0.866638945718464
  27  8     0.867753368076509
  28  1     0.867769430104146
  28  2     0.866556811343466
  28  3     0.866455265678300
  28  4     0.867386385205524
  28  5     0.867870955450803
  28  6     0.867536877722165
  28  7     0.867530398995950
  28  8     0.868156736208045
  29  1     0.867980278543345
  29  2     0.867205785918316
  29  3     0.867167275322618
  29  4     0.867746622205865
  29  5     0.867683187768691
  29  6     0.866926995283477
  29  7     0.866857490088299
  29  8     0.867817013037645
  30  1     0.868245964136279
  30  2     0.867470459810433
  30  3     0.867255914959052
  30  4     0.867590643492266
  30  5     0.867359376745399
  30  6     0.866609416304666
  30  7     0.866713518443549
  30  8     0.867910118869523
  31  1     0.867217869391481
  31  2     0.866038550772740
  31  3     0.865832012402783
  31  4     0.866589340955729
  31  5     0.866943966853966
  31  6     0.866593581380760
  31  7     0.866682216598469
  31  8     0.867463376748762
  32  1     0.867707767593521
  32  2     0.866791141223349
  32  3     0.866772731979163
  32  4     0.867526935745707
  32  5     0.867700078300805
  32  6     0.867102684391999
  32  7     0.867010869333004
  32  8     0.867783656957942
  33  1     0.868807755973918
  33  2     0.868152776774637
  33  3     0.868042785169902
  33  4     0.868400744396874
  33  5     0.868111013229016
  33  6     0.867254433705270
  33  7     0.867243451190119
  33  8     0.868397489227785
  34  1     0.867299893154831
  34  2     0.866239353122346
  34  3     0.865965252631035
  34  4     0.866497556250444
  34  5     0.866634632367772
  34  6     0.866199752083829
  34  7     0.866343433661813
  34  8     0.867302571293258
  35  1     0.866822430575387
  35  2     0.865704721279393
  35  3     0.865563892738666
  35  4     0.866370306397425
  35  5     0.866758091378282
  35  6     0.866399205861549
  35  7     0.866386630076573
  35  8     0.867055012692641
  36  1     0.869359962440290
  36  2     0.868775454156456
  36  3     0.868792455716534
  36  4     0.869298086249013
  36  5     0.869105468628632
  36  6     0.868213613732653
  36  7     0.868019022823131
  36  8     0.868975262435243
  37  1     0.868364938444568
  37  2     0.867572769921342
  37  3     0.867327858713923
  37  4     0.867708503641278
  37  5     0.867591300646159
  37  6     0.866893436987048
  37  7     0.866903268334080
  37  8     0.867987565995732
  38  1     0.866086227952136
  38  2     0.864702318775304
  38  3     0.864274868134272
  38  4     0.865010371386931
  38  5     0.865584114214817
  38  6     0.865493510109492
  38  7     0.865669026054951
  38  8     0.866399889825726
  39  1     0.867189307935755
  39  2     0.866348866030550
  39  3     0.866250638359978
  39  4     0.866956574753121
  39  5     0.867115542543724
  39  6     0.866421433868643
  39  7     0.866202405432723
  39  8     0.867032805635509
  40  1     0.870270360322459
  40  2     0.869907597041043
  40  3     0.869851745022264
  40  4     0.870267852024442
  40  5     0.869907368089102
  40  6     0.868627337292426
  40  7     0.868158359454312
  40  8     0.869371717284026
  41  1     0.869966337206089
  41  2     0.868609308204670
  41  3     0.867967982217759
  41  4     0.868668423479620
  41  5     0.869268188804552
  41  6     0.868938479432049
  41  7     0.868879016339295
  41  8     0.869835556019636
  42  1     0.865714101726176
  42  2     0.863886748549880
  42  3     0.863036429815246
  42  4     0.864074327808368
  42  5     0.865289515990389
  42  6     0.865341127819072
  42  7     0.865281715179901
  42  8     0.866003057185417
  43  1     0.863391921018044
  43  2     0.862635144925691
  43  3     0.862042142927994
  43  4     0.862837875723162
  43  5     0.863168146500036
  43  6     0.861769848322748
  43  7     0.860808644011139
  43  8     0.862202190744816
  44  1     0.874038251740928
  44  2     0.873328495736759
  44  3     0.872465615193415
  44  4     0.873137732879988
  44  5     0.873477429756576
  44  6     0.871900040246811
  44  7     0.870719912211625
  44  8     0.872349165359483
  45  1     0.880335671417033
  45  2     0.878378800845880
  45  3     0.876876363046736
  45  4     0.877970181489523
  45  5     0.879640260845732
  45  6     0.879431968174741
  45  7     0.878729216960782
  45  8     0.879697506176029
  46  1     0.862930881019158
  46  2     0.860964410147119
  46  3     0.859282138222052
  46  4     0.860440364795143
  46  5     0.862351574193630
  46  6     0.862147145879579
  46  7     0.861224414112188
  46  8     0.862092217352435
  47  1     0.849486780892847
  47  2     0.849068636658757
  47  3     0.847862108419805
  47  4     0.848293748802381
  47  5     0.848942424934059
  47  6     0.847620551500384
  47  7     0.846107761977308
  47  8     0.847412658329824
  48  1     0.897531209193022
  48  2     0.897089530542575
  48  3     0.896186399345527
  48  4     0.896421169313067
  48  5     0.896954795773287
  48  6     0.896377687269899
  48  7     0.895475531946027
  48  8     0.896215653031052
  49  1     0.896333193108238
  49  2     0.895985513909959
  49  3     0.895127052148478
  49  4     0.895238425857373
  49  5     0.895659022270098
  49  6     0.895303468744675
  49  7     0.894552657306806
  49  8     0.894973768391367
  50  1     0.873450518384270
  50  2     0.873521621010762
  50  3     0.873111536404771
  50  4     0.873118083274454
  50  5     0.873241673229945
  50  6     0.872885097097238
  50  7     0.872213081265156
  50  8     0.872470009991144
 
