Nx=  50 Ny= 8 M= 12000
  46  8     0.864934431277886
  47  1     0.852975902807645
  47  2     0.852683988091607
  47  3     0.852431207835609
  47  4     0.852068568769667
  47  5     0.851534389653606
  47  6     0.850994907626918
  47  7     0.850979650301215
  47  8     0.852067224272480
  48  1     0.864854753679379
  48  2     0.865061617199910
  48  3     0.864768181329284
  48  4     0.864031715044935
  48  5     0.863052322282018
  48  6     0.862187080066393
  48  7     0.862086367896618
  48  8     0.863272076871079
  49  1     0.912936690936026
  49  2     0.913382888425046
  49  3     0.913197440976489
  49  4     0.912509358147930
  49  5     0.911614288449789
  49  6     0.910897177790528
  49  7     0.910829447016324
  49  8     0.911657269753132
  50  1     0.965022093635963
  50  2     0.965260838778282
  50  3     0.965209548327051
  50  4     0.964927200105281
  50  5     0.964552470662523
  50  6     0.964268754448354
  50  7     0.964258150642563
  50  8     0.964565768292829
 
